,title,publication_date,abstract
0,Ultra rapid biosensors for detecting carcinoma biomarkers,2022-02-01,"Preliminary screening and successful therapy are the two biggest challenges in the battle against cancer prognosis and diagnosis. This life-threatening disease can be profoundly imagined and identified based on the tracing of widely eliciting/expressing protein biomarkers in the biological fluids of an individual. These protein biomarker may fall into broad categories based on the types of tissues or organs being involved and are commonly known as onco-biomarkers or tumor markers. Indicators of cancer are routinely detected using a myriad of developing bio-sensing tools for point of care diagnostics that have really been proven to be an effective solution for early-stage cancer. Modern and advanced approaches offer great advantages over the use of traditional assessment therapies, such as chemotherapy, radiation, surgery, and combinations, of all but display several noticeable drawbacks in that they are time-consuming, hard to use, skilled labour-intensive, costly, less efficient, less sensitive, require more analysis time, and are often not up to the mark. Recently, various bio-sensing approaches have drawn special attention toward on-site screening and real-time detection of critical protein biomarkers. This review provides an insightful overview of current advances made in sensing techniques used for detecting biomarkers for various types of carcinomas. Various sensing methodologies and tools used for the detection of each biomarker have been thoroughly reviewed. Every one of these processes indicates that multifaceted innovation-based tumor diagnostics are becoming an indisputable substitute for conventional strategies."
1,Current role and future perspectives of chemometrics in spectroscopic and chromatographic analysis of traditional Chinese medicines,2022-02-01,"Recently, Traditional Chinese Medicines (TCMs), having a rich history in China for their use in maintaining health and treating disease, have gained popularity worldwide. However, their modernization and globalization are impeded due to their “multi-component, multi-pathway, and multi-target” properties. Chemometrics, a comprehensive product of statistics, computers, and information, is an interfacial discipline that extracts practical information from large chemical and biochemical datasets, beneficial to overcome TCMs restrictions. This review summarized key research findings on the basis and application of TCMs according to their components, authenticity, processing conditions, geographical origin, pharmacological activity, and metabolomics based on recent studies. Here, we discussed the benefits and shortcomings of cluster analysis, principal component analysis, soft independent modeling of class analogy, artificial neural networks, support vector machine, partial least squares-discriminant analysis, data fusion and calibration, and the appropriate application of these methods in different fields of TCMs. This review aimed to provide a basic understanding of the role and perspectives of chemometrics in the spectroscopic and chromatographic analysis of TCMs."
2,Function of calcium-rich hydroxyapatite nanoparticles on proliferation and differentiation of bone marrow mesenchymal stem cells (BMSCs) in osteoporosis,2022-02-01,"Out study was aimed to assess the function of calcium-rich hydroxyapatite nanoparticles on proliferation and differentiation of bone marrow mesenchymal stem cells (BMSCs) in osteoporosis. The structure of calciumrich hydroxyapatite nanoparticles was tested with Transmission electron microscopy (TEM) and cell proliferation was detected with 3-(4,5-dimethylthiazol-2-yl)-2,5-diphenyltetrazolium bromide (MTT) method. The activity of Caspase3 was detected with ELISA and content of alkaline phosphatase (AP), osteopontin (OPN) and Runx2 was tested with Western Blot assay. The bone marrow mesenchymal stem cells (BMSCs) proliferation was prompted by calcium-rich hydroxyapatite. Results showed that the activity of ALP was increased, while activity of Caspase3 was reduced. The expression levels of OPN and Runx2 were increased while expression of Bone morphogenetic protein 2 (BMP-2) osteogenesis marker was increased. Moreover, the BMSCs could be differentiated effectively onto osteogenic direction, and proliferation and osteogenic differentiation of BMSCs was prompted effectively by calcium-rich hydroxyapatite. These findings could probably provide a brand-new scheme for clinical treatment of OP."
3,Mechanism of 5-fluorouracil nanoparticles on releasing skin squamous cell carcinoma through regulation of Wnt/-catenin expression,2022-02-01,"5-FU nanoparticles were prepared in this study to discuss mechanism of 5-fluorouracil nanoparticles on releasing SSCC through regulating Wnt/β-catenin expression. The characteristics of nanomaterial were analyzed through electron microscope. The releasing characteristics in vitro and in vivo were also detected. Proliferation and apoptosis of SCC cell line in control and 5-FU nanoparticles groups were detected through FCM and MTT method. The tumor volume was recorded and average particle size was 310 nm with uni-form distribution. The apoptosis of MCF-7 cells in the 5-FU nanoparticles group was increased notably, and there were abundant circular floating apoptotic cells. The quantity of active MCF-7 cells was reduced notably and proliferation of SSCC could be restrained by 5-FU nanoparticles through regulation of Wnt/β-catenin expression."
4,Mechanism of poly(lactic acid-glycolic acid) (PLGA) copolymer nanoparticles in enhancing cytotoxicity against occurrence and development of lung cancer metastasis,2022-02-01,"Poly lactic acid-glycolic acid copolymer (PLGA) plays a critical role in inducing tumor cells apoptosis. However, the solubility of the compound itself puts a limit on its use value in treatment of tumor. In this study, we used PLGA combined with nanoparticles as a strategy for metastatic tumor of lung cancer. We evaluated the biological effect of PLGA nanoparticles on enhancing cytotoxicity and its anti-tumor effect against metastasis tumor of lung cancer. Confocal microscope was used to detect the transfection efficiency of tumor cells. PLGA and PLGA-cored nanoparticles (PLGA AC-NPs) were used to interfere with proliferation and apoptosis of metastatic tumor cell line from lung cancer and flow cytometry was used to explore its effect. Furthermore, PLGA and PLGA AC-NPs were injected into the chest of lung cancer mice for treatment. Cell proliferation and apoptosis were detected through measurement of tumor volume, immunohistochemistry (IHC) and Westernblot protein analysis. It was found that, PLGA AC-NPs significantly enhanced cell uptake while PLGA ACNPs regulated tumor by inhibiting cell proliferation and promoting apoptosis. It was also observed in vivo transplanted tumor model that the growth of metastatic tumor of lung cancer was inhibited significantly by NGO-PEG-PEI/Cer, while proliferation and accelerated apoptosis were also slowed down. PLGA AC-NPs can inhibit tumor growth by promoting apoptosis and inhibiting further proliferation of tumor cells."
5,Extracts from lichen  decrease the stemness potential of colorectal cancer cells,2022-02-01,"Lichens are symbiotic organisms with the potential to be used in the pharmaceutical industry. To identify novel lichen extracts that inhibit the stemness potential of colorectal cancer cells, we tested acetone extracts of Lobaria retigera collected in Vietnam. Crude acetone extracts of L. retigera decreased spheroid formation in CSC221, DLD1, and HT29 cells. In addition, mRNA levels of genes encoding cancer stem markers aldehyde dehydrogenase-1, CD44, CD133, Lgr5, and Musashi-1 were significantly downregulated in a dose-dependent manner after treatment with L. retigera extract. Moreover, L. retigera extract decreased the transcriptional activities of Gli and the Notch-related Hes1 promoter in reporter assays. Together, these results demonstrate that L. retigera extract is a potent inhibitor of colorectal cancer cell stemness."
6,"Arginine and chitosan modified magnetic nanoparticles in ciprofloxacin delivery: A comparative, characterization and  release study",2022-02-01,"Recently, magnetic iron oxide nanoparticles (IONPs) have become great potential nanocarriers for drugs and biomaterials. Chitosan (Chi) and Arginine (Arg) were utilized to coat magnetite nanoparticles to produce Chi-IONPs and Arg-IONPs. The preparation Chi-IONPs and Arg-IONPs was carried out by a two-step process. Initially, magnetite (Fe3O4) was prepared from Fe+2 and Fe+3 ions which were added into a solution of soda by a co-precipitation method. In the second step, prepared IONPs were coated with Chi and Arg polymers. The Chi-IONPs and Arg-IONPs were then conjugated with ciprofloxacin (Cip) to produce Cip-Chi-IONPs and Cip-Arg-IONPs nanocomposites. Characterization was performed using X-ray diffraction analysis (XRD), Fourier-transform infrared spectroscopy (FTIR), scanning electron microscopy (SEM), transmission electron microscopy (TEM), Zeta Potential determination, vibrating-sample magnetometery (VSM), UV-Vis spectroscopy and cytotoxicity. From the XRD, the plane (311) of magnetic nanoparticles remained without shift, indicating that they remained in the structure as the core of the carrier. The Chi and Arg polymers bound to IONPs were estimated by calculating the difference in weight loss by thermal gravimetric analysis (TGA). The loading of Cip to the IONPs was confirmed by FTIR analysis. The percent loading of Cip onto the Chi-IONPs and Arg-IONPs was measured using UV-Vis spectroscopy, and found to be around 15% and 9%, respectively. The size of Cip-Chi-IONPs and Cip-Arg-IONPs nanocomposites were ~13 nm, which was measured by TEM. From the VSM experiment, the Ms saturation value for IONPs, Cip-Chi-IONPs and Cip-Arg-IONPs was 79 emu/g, 38 emu/g, and 26 emu/g, respectively, and field coercivity (Hc) for each was each 7.37, 16.12 and 13.69 Gauss, respectively. In the release study, Cip-Arg-IONPs demonstrated a faster rate of release compared with Cip-Chi-IONPs and followed a second order kinetic mode with diffusion mechanism. In the cytotoxicity study for Cip-Chi-IONPs and Cip-Arg-IONPs nanocomposites, the results showed that there were no toxic properties up to 100 μg/mL. This work showed that the development of Cip-Chi-IONPs and Cip-Arg-IONPs nanocomposites have a great potential for use as drug delivery systems."
7,Toxic effect of silica nanoparticles on bronchial epithelial cells,2022-02-01,"Nanometer silica dioxide (nano-SiO2) is a widely utilized material in everyday applications; however, it exhibits toxic side effects on the human body. This study aims to provide reliable research basis for theoretical guidance in mitigating the toxic effects of nano-SiO2 in future applications by analyzing the mechanism of its effect on bronchial epithelial cells. In this experiment, under nano-SiO2 intervention, the proliferation and migration capacities of bronchial epithelial cells decreased (P < 0.05); apoptosis capacity increased (P < 0.05); the P13K/AKT/mTOR signaling pathway was inhibited (P < 0.05), and the oxidative stress reaction and inflammatory response was intensified (P < 0.05). Thus, we can tentatively infer that nano-SiO2 causes apoptosis of the bronchial epithelial cells by inhibiting the P13K/AKT/mTOR signaling pathway and accelerates the activation of oxidative stress, thus leading to toxic effects on bronchial epithelial cells."
8,Clinical implications of miR-424 in diabetic retinopathy and its correlation with inflammatory cytokines,2022-02-01,"Diabetic retinopathy (DR) is a major complication of diabetes mellitus (DM) that can result in low vision or blindness, severely threatening the quality of life of patients. Because of the aberrant expression of miR-424 in DM and its close association with cataracts, we aimed to analyze the clinical implications of miR-424 in DR. We found that miR-424 levels were lower in DR than DM patients (P < 0.05), and they increased after treatment (P < 0.05). The receiver operating characteristic curves demonstrated a reliable diagnostic value of miR-424, and levels of inflammatory cytokines were elevated in DR patients and suppressed after treatment (P < 0.05). Correlation analyses indicated an inverse association between these cytokines and miR-424 in the observation group after treatment. Moreover, miR-424 was highly predictive of the prognosis and recurrence of DR. Additionally, miR-424 was an independent protective factor for DM, as shown by logistic regression. Overall, it is concluded that the low expression of miR-424 in DR is inversely associated with inflammatory cytokines, which could be excellent potential candidates for the diagnosis and treatment of DR."
9,Carbon dots with tunable emission based on pH values,2022-02-01,"Fluorescent carbon dots are the hot topic of fluorescent nanomaterials due to their outstanding optical properties and promising practical application. However, the drawback of fluorescent carbon dots that their strong emission frequently in the blue-light region restricts their further applications. Here, fluorescent carbon dots with tunable emission were synthesized through a simple, rapid and low-cost chemical thermal treatment method. The fluorescent carbon dots emit bright green, yellow and orange fluorescence with different pH value. This is due to the combined effect of size and surface states of fluorescent carbon dots. Further studies show that the fluorescent carbon dots possess intrinsic horseradish peroxidase-like activity and were successfully applied to directly detect Cr3+."
