,title,publication_date,abstract
0,Room-temperature epitaxial welding of 3D and 2D perovskites,2022-07-25,"Formation of epitaxial heterostructures via post-growth self-assembly is important in the design and preparation of functional hybrid systems combining unique properties of the constituents. This is particularly attractive for the construction of metal halide perovskite heterostructures, since their conventional solution synthesis usually leads to non-uniformity in composition, crystal phase and dimensionality. Herein, we demonstrate that a series of two-dimensional and three-dimensional perovskites of different composition and crystal phase can form epitaxial heterostructures through a ligand-assisted welding process at room temperature. Using the CsPbBr3/PEA2PbBr4 heterostructure as a demonstration, in addition to the effective charge and energy transfer across the epitaxial interface, localized lattice strain was observed at the interface, which was extended to the top layer of the two-dimensional perovskite, leading to multiple new sub-bandgap emissions at low temperature. Given the versatility of our strategy, unlimited hybrid systems are anticipated, yielding composition-, interface- and/or orientation-dependent properties."
1,Conduction band structure of high-mobility organic semiconductors and partially dressed polaron formation,2022-07-18,"The energy band structure provides crucial information on charge transport behaviour in organic semiconductors, such as effective mass, transfer integrals and electron–phonon coupling. Despite the discovery of the valence (the highest occupied molecular orbital (HOMO)) band structure in the 1990s, the conduction band (the lowest unoccupied molecular orbital (LUMO)) has not been experimentally observed. Here we employ angle-resolved low-energy inverse photoelectron spectroscopy to reveal the LUMO band structure of pentacene, a prototypical high-mobility organic semiconductor. The derived transfer integrals and bandwidths from the LUMO are substantially smaller than those predicted by density functional theory calculations. To reproduce this bandwidth reduction, we propose an improved (partially dressed) polaron model that accounts for the electron–intramolecular vibrational interaction with frequency-dependent coupling constants based on Debye relaxation. This model quantitatively reproduces not only the transfer integrals, but also the temperature-dependent HOMO and LUMO bandwidths, and the hole and electron mobilities. The present results demonstrate that electron mobility in high-mobility organic semiconductors is indeed limited by polaron formation."
2,Room-temperature logic-in-memory operations in single-metallofullerene devices,2022-07-14,"In-memory computing provides an opportunity to meet the growing demands of large data-driven applications such as machine learning, by colocating logic operations and data storage. Despite being regarded as the ultimate solution for high-density integration and low-power manipulation, the use of spin or electric dipole at the single-molecule level to realize in-memory logic functions has yet to be realized at room temperature, due to their random orientation. Here, we demonstrate logic-in-memory operations, based on single electric dipole flipping in a two-terminal single-metallofullerene (Sc2C2@Cs(hept)-C88) device at room temperature. By applying a low voltage of ±0.8 V to the single-metallofullerene junction, we found that the digital information recorded among the different dipole states could be reversibly encoded in situ and stored. As a consequence, 14 types of Boolean logic operation were shown from a single-metallofullerene device. Density functional theory calculations reveal that the non-volatile memory behaviour comes from dipole reorientation of the [Sc2C2] group in the fullerene cage. This proof-of-concept represents a major step towards room-temperature electrically manipulated, low-power, two-terminal in-memory logic devices and a direction for in-memory computing using nanoelectronic devices."
3,Tuning colour centres at a twisted hexagonal boron nitride interface,2022-07-14,"The colour centre platform holds promise for quantum technologies, and hexagonal boron nitride has attracted attention due to the high brightness and stability, optically addressable spin states and wide wavelength coverage discovered in its emitters. However, its application is hindered by the typically random defect distribution and complex mesoscopic environment. Here, employing cathodoluminescence, we demonstrate on-demand activation and control of colour centre emission at the twisted interface of two hexagonal boron nitride flakes. Further, we show that colour centre emission brightness can be enhanced by two orders of magnitude by tuning the twist angle. Additionally, by applying an external voltage, nearly 100% brightness modulation is achieved. Our ab initio GW and GW plus Bethe–Salpeter equation calculations suggest that the emission is correlated to nitrogen vacancies and that a twist-induced moiré potential facilitates electron–hole recombination. This mechanism is further exploited to draw nanoscale colour centre patterns using electron beams."
4,Mechanical checkpoint regulates monocyte differentiation in fibrotic niches,2022-07-11,"Myelofibrosis is a progressive bone marrow malignancy associated with monocytosis, and is believed to promote the pathological remodelling of the extracellular matrix. Here we show that the mechanical properties of myelofibrosis, namely the liquid-to-solid properties (viscoelasticity) of the bone marrow, contribute to aberrant differentiation of monocytes. Human monocytes cultured in stiff, elastic hydrogels show proinflammatory polarization and differentiation towards dendritic cells, as opposed to those cultured in a viscoelastic matrix. This mechanically induced cell differentiation is blocked by inhibiting a myeloid-specific isoform of phosphoinositide 3-kinase, PI3K-γ. We further show that murine bone marrow with myelofibrosis has a significantly increased stiffness and unveil a positive correlation between myelofibrosis grading and viscoelasticity. Treatment with a PI3K-γ inhibitor in vivo reduced frequencies of monocyte and dendritic cell populations in murine bone marrow with myelofibrosis. Moreover, transcriptional changes driven by viscoelasticity are consistent with transcriptional profiles of myeloid cells in other human fibrotic diseases. These results demonstrate that a fibrotic bone marrow niche can physically promote a proinflammatory microenvironment."
5,Directed cell migration towards softer environments,2022-07-11,"How cells sense tissue stiffness to guide cell migration is a fundamental question in development, fibrosis and cancer. Although durotaxis—cell migration towards increasing substrate stiffness—is well established, it remains unknown whether individual cells can migrate towards softer environments. Here, using microfabricated stiffness gradients, we describe the directed migration of U-251MG glioma cells towards less stiff regions. This ‘negative durotaxis’ does not coincide with changes in canonical mechanosensitive signalling or actomyosin contractility. Instead, as predicted by the motor–clutch-based model, migration occurs towards areas of ‘optimal stiffness’, where cells can generate maximal traction. In agreement with this model, negative durotaxis is selectively disrupted and even reversed by the partial inhibition of actomyosin contractility. Conversely, positive durotaxis can be switched to negative by lowering the optimal stiffness by the downregulation of talin—a key clutch component. Our results identify the molecular mechanism driving context-dependent positive or negative durotaxis, determined by a cell’s contractile and adhesive machinery."
6,Graphene oxide bulk material reinforced by heterophase platelets with multiscale interface crosslinking,2022-07-07,"Graphene oxide (GO) and reduced GO possess robust mechanical, electrical and chemical properties. Their nanocomposites have been extensively explored for applications in diverse fields. However, due to the high flexibility and weak interlayer interactions of GO nanosheets, the flexural mechanical properties of GO-based composites, especially in bulk materials, are largely constrained, which hinders their performance in practical applications. Here, inspired by the amorphous/crystalline feature of the heterophase within nacreous platelets, we present a centimetre-sized, GO-based bulk material consisting of building blocks of GO and amorphous/crystalline leaf-like MnO2 hexagon nanosheets adhered together with polymer-based crosslinkers. These building blocks are stacked and hot-pressed with further crosslinking between the layers to form a GO/MnO2-based layered (GML) bulk material. The resultant GML bulk material exhibits a flexural strength of 231.2 MPa. Moreover, the material exhibits sufficient fracture toughness and strong impact resistance while being light in weight. Experimental and numerical analyses indicate that the ordered heterophase structure and synergetic crosslinking interactions across multiscale interfaces lead to the superior mechanical properties of the material. These results are expected to provide insights into the design of structural materials and potential applications of high-performance GO-based bulk materials in aerospace, biomedicine and electronics."
7,Emergence of correlations in alternating twist quadrilayer graphene,2022-07-07,"Alternating twist multilayer graphene (ATMG) has recently emerged as a family of moiré systems that share several fundamental properties with twisted bilayer graphene, and are expected to host similarly strong electron–electron interactions near the magic angle. Here, we study alternating twist quadrilayer graphene (ATQG) samples with twist angles of 1.96° and 1.52°, which are slightly removed from the magic angle of 1.68°. At the larger angle, we find signatures of correlated insulators only when the ATQG is hole doped, and no signatures of superconductivity, and for the smaller angle we find evidence of superconductivity, while signs of the correlated insulators weaken. Our results provide insight into the twist angle dependence of correlated phases in ATMG and shed light on the nature of correlations in the intermediate coupling regime at the edge of the magic angle range where dispersion and interaction are of the same order."
8,Robust superconductivity in magic-angle multilayer graphene family,2022-07-07,"The discovery of correlated states and superconductivity in magic-angle twisted bilayer graphene (MATBG) established a new platform to explore interaction-driven and topological phenomena. However, despite multitudes of correlated phases observed in moiré systems, robust superconductivity appears the least common, found only in MATBG and more recently in magic-angle twisted trilayer graphene. Here we report the experimental realization of superconducting magic-angle twisted four-layer and five-layer graphene, hence establishing alternating twist magic-angle multilayer graphene as a robust family of moiré superconductors. This finding suggests that the flat bands shared by the members play a central role in the superconductivity. Our measurements in parallel magnetic fields, in particular the investigation of Pauli limit violation and spontaneous rotational symmetry breaking, reveal a clear distinction between the N = 2 and N > 2-layer structures, consistent with the difference between their orbital responses to magnetic fields. Our results expand the emergent family of moiré superconductors, providing new insight with potential implications for design of new superconducting materials platforms."
9,Ultra-stable all-solid-state sodium metal batteries enabled by perfluoropolyether-based electrolytes,2022-07-04,"Rechargeable batteries paired with sodium metal anodes are considered to be one of the most promising high-energy and low-cost energy-storage systems. However, the use of highly reactive sodium metal and the formation of sodium dendrites during battery operation have caused safety concerns, especially when highly flammable liquid electrolytes are used. Here we design and develop solvent-free solid polymer electrolytes (SPEs) based on a perfluoropolyether-terminated polyethylene oxide (PEO)-based block copolymer for safe and stable all-solid-state sodium metal batteries. Compared with traditional PEO SPEs, our results suggest that block copolymer design allows for the formation of self-assembled nanostructures leading to high storage modulus at elevated temperatures with the PEO domains providing transport channels even at high salt concentration (ethylene oxide/sodium = 8/2). Moreover, it is demonstrated that the incorporation of perfluoropolyether segments enhances the Na+ transference number of the electrolyte to 0.46 at 80 °C and enables a stable solid electrolyte interface. The new SPE exhibits highly stable symmetric cell-cycling performance at high current density (0.5 mA cm−2 and 1.0 mAh cm−2, up to 1,000 h). Finally, the assembled all-solid-state sodium metal batteries demonstrate outstanding capacity retention, long-term charge/discharge stability (Coulombic efficiency, 99.91%; >900 cycles with Na3V2(PO4)3 cathode) and good capability with high loading NaFePO4 cathode (>1 mAh cm−2)."
